排名,名称,链接,星级,评分,评价人数
79,功夫,https://movie.douban.com/subject/1291543/,4.5,8.8,1165020
80,禁闭岛,https://movie.douban.com/subject/2334904/,4.5,8.9,1000216
81,蝴蝶效应,https://movie.douban.com/subject/1292343/,4.5,8.9,958407
82,致命魔术,https://movie.douban.com/subject/1780330/,4.5,8.9,878733
83,哈利·波特与阿兹卡班的囚徒,https://movie.douban.com/subject/1291544/,4.5,8.9,753274
84,心灵捕手,https://movie.douban.com/subject/1292656/,4.5,8.9,731034
85,超脱,https://movie.douban.com/subject/5322596/,4.5,9.0,621300
86,低俗小说,https://movie.douban.com/subject/1291832/,4.5,8.9,853062
87,海豚湾,https://movie.douban.com/subject/3442220/,4.5,9.3,361770
88,摩登时代,https://movie.douban.com/subject/1294371/,4.5,9.3,308800
89,春光乍泄,https://movie.douban.com/subject/1292679/,4.5,9.0,644891
90,美国往事,https://movie.douban.com/subject/1292262/,4.5,9.2,420744
91,喜剧之王,https://movie.douban.com/subject/1302425/,4.5,8.8,989557
92,致命ID,https://movie.douban.com/subject/1297192/,4.5,8.9,845084
93,杀人回忆,https://movie.douban.com/subject/1300299/,4.5,8.9,734165
94,七宗罪,https://movie.douban.com/subject/1292223/,4.5,8.8,960106
95,红辣椒,https://movie.douban.com/subject/1865703/,4.5,9.1,480324
96,加勒比海盗,https://movie.douban.com/subject/1298070/,4.5,8.8,877342
97,哈利·波特与密室,https://movie.douban.com/subject/1296996/,4.5,8.9,780326
98,一一,https://movie.douban.com/subject/1292434/,4.5,9.1,407549
99,狩猎,https://movie.douban.com/subject/6985810/,4.5,9.1,402505
100,唐伯虎点秋香,https://movie.douban.com/subject/1306249/,4.5,8.7,1103093
101,7号房的礼物,https://movie.douban.com/subject/10777687/,4.5,8.9,568591
102,被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,4.5,8.9,715202
103,蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,4.5,8.9,738263
104,请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,4.5,8.8,738055
105,爱在黎明破晓前,https://movie.douban.com/subject/1296339/,4.5,8.8,701102
